listing_id,listing_name,listing_type,room_type,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,checkin_time,checkout_time,guest_favorite,exact_location,cleaning_fee,extra_guest_fee,single_fee_structure,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar_native,ttm_adjusted_revpar_native,ttm_avg_min_nights,ttm_avg_length_of_stay,ttm_reserved_days,ttm_blocked_days,ttm_available_days,amenities_count,center_mark
506824,Modern Apartment in Central Hanoi,Entire rental unit,entire_home,True,21.0303,105.8504,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Elevator,Long term stays allowed",False,False,2,Firm,3:00 PM,11:00 AM,False,False,15,0.0,True,218.0,4.85,4.8,4.9,4.8,5.0,4.9,4.8,222692050.0,1255305.9,0.466,0.472,593005.2,601241.3,2.0,10.0,170,5,195,16,0.45
1271743,Peaceful Homestay in Hanoi #1,Private room in home,private_room,False,21.0511,105.8878,2.0,1.0,1.0,0.0,False,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Kitchen,Free parking on premises,Hangers,Hair dryer,Iron,Heating",False,False,1,Moderate,3:00 PM,11:00 AM,False,False,0,0.0,True,54.0,4.74,4.8,4.8,4.8,4.8,4.3,4.8,8014626.0,611255.9,0.036,0.036,21957.9,21957.9,1.0,13.0,13,0,352,12,4.34
3354986,As your home in Cau giay Hanoi,Private room in home,private_room,True,21.0303,105.7859,4.0,1.0,2.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Rice maker,Dining table,Patio or balcony,Luggage dropoff allowed,Long term stays allowed",False,False,2,Moderate,3:00 PM,11:00 AM,True,False,1,0.0,False,91.0,4.98,5.0,5.0,4.9,5.0,4.8,5.0,8535064.0,307410.4,0.077,0.159,23098.6,47903.3,2.0,7.0,28,189,337,31,7.08
4612134,Unique Hanoi old quarter APT*2Bdr*2Balc*2Bath*,Entire condo,entire_home,True,21.03,105.8468,5.0,2.0,2.0,2.0,False,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,High chair,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Rice maker,Trash compactor,Dining table,Private entrance,Patio or balcony",False,False,1,Moderate,2:00 PM,12:00 PM,False,True,0,0.0,True,170.0,4.85,4.8,4.9,4.7,5.0,4.9,4.8,505779963.0,1659031.3,0.833,0.833,1385698.5,1385698.5,1.0,3.2,304,0,61,40,0.78
5842921,Garden house center of Old quarter,Entire townhouse,entire_home,True,21.0341,105.8479,3.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Laundromat nearby,Patio or balcony,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",False,False,2,Moderate,2:00 PM,11:00 AM,True,True,0,5.0,True,764.0,4.89,4.9,4.9,4.9,5.0,4.9,4.9,276218308.0,887155.2,0.852,0.864,756762.5,767273.1,1.9,3.8,311,5,54,28,0.92
6208123,Near HNOperaHouse Serviced Apartment|FreeWashDryer,Entire serviced apartment,entire_home,True,21.019,105.8554,3.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Toaster,Rice maker,Dining table,Private entrance,Laundromat nearby,Free parking on premises,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",False,False,1,Flexible,2:00 PM,12:00 PM,True,True,5,0.0,True,26.0,4.96,5.0,4.9,4.9,5.0,5.0,5.0,62763889.0,560211.0,0.299,0.438,168391.3,246838.6,1.0,10.9,109,116,256,47,1.02
6531350,Very brighten room with balcony,Private room in home,private_room,False,21.0622,105.835,2.0,1.0,1.0,0.0,False,"Washer,Wifi,Air conditioning,Kitchen,Free parking on premises,Shampoo,Smoking allowed,Hangers,Hair dryer,Iron,Hot tub,Heating",False,False,2,Moderate,3:00 PM,11:00 AM,False,False,5,0.0,True,12.0,4.25,4.7,4.4,4.6,4.7,4.2,4.7,6036993.0,470882.5,0.033,0.033,15826.8,15826.8,2.0,6.0,12,0,353,12,4.28
6909493,New apt at Hanoi EcoPark great view and safe,Entire rental unit,entire_home,False,20.9746,105.926,5.0,3.0,3.0,2.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,High chair,Window guards,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Toaster,Baking sheet,Dining table,Lake access,Patio or balcony,Free street parking,Pool,Elevator,Gym,Paid parking off premises,Paid parking on premises,Long term stays allowed",False,False,2,Flexible,10:00 AM,12:00 PM,True,False,18,0.0,True,79.0,4.78,4.8,4.9,4.9,5.0,4.7,4.8,46396344.0,1004572.7,0.123,0.138,123263.5,137587.7,2.0,11.3,45,38,320,50,9.55
7042426,Amy's Home,Entire rental unit,entire_home,False,21.0014,105.8083,5.0,2.0,2.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,High chair,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Rice maker,Patio or balcony,Long term stays allowed",False,False,2,Moderate,9:00 AM,10:00 AM,True,False,14,0.0,True,72.0,4.9,4.9,4.9,4.7,5.0,4.6,4.9,56336570.0,615533.5,0.238,0.473,149356.3,296277.5,2.0,7.3,87,181,278,28,5.6
8076191,Studio apartment T4,Entire condo,entire_home,False,21.0538,105.8347,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Hot water kettle,Blender,Dining table,Lake access,Free parking on premises,Free street parking,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",False,False,7,Flexible,3:00 PM,2:00 PM,True,True,30,0.0,True,48.0,4.71,4.9,4.8,4.6,4.8,4.8,4.7,78454853.0,542459.4,0.348,0.555,195696.0,311917.2,6.6,14.1,127,136,238,26,3.49
