listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
27804330,2025-06-01,28,2,0.067,86.0,44.4,43.0,6,2,1,1118925.0,1155355.0,2237849.0
27804330,2025-07-01,30,1,0.032,40.0,43.6,40.0,3,1,1,1040860.0,1134537.0,1040860.0
27804330,2025-08-01,26,5,0.161,218.0,43.5,43.6,19,1,1,1134537.0,1131935.0,5672687.0
27804330,2025-09-01,24,6,0.2,259.0,43.4,43.2,3,3,1,1124129.0,1129333.0,6739569.0
27804330,2025-10-01,23,8,0.258,352.0,44.3,44.0,37,1,1,1144946.0,1152752.0,9159568.0
27804330,2025-11-01,24,6,0.2,276.0,43.9,46.0,52,2,1,1196989.0,1142344.0,7181934.0
27804330,2025-12-01,31,0,0.0,0.0,44.1,,,,1,,1147548.0,0.0
27804330,2026-01-01,31,0,0.0,0.0,47.0,,,,1,,1223011.0,0.0
27804330,2026-02-01,28,0,0.0,0.0,48.1,,,,1,,1251634.0,0.0
27804330,2026-03-01,31,0,0.0,0.0,48.0,,,,1,,1249032.0,0.0
27804330,2026-04-01,30,0,0.0,0.0,47.7,,,,1,,1241226.0,0.0
27804330,2026-05-01,31,0,0.0,0.0,47.9,,,,1,,1246430.0,0.0
21711477,2025-06-01,0,30,1.0,523.0,17.4,17.4,,,28,452774.0,452774.0,1.3609245E7
21711477,2025-07-01,0,31,1.0,537.0,17.3,17.3,27,34,28,450172.0,450172.0,1.3973546E7
21711477,2025-08-01,11,20,0.645,290.0,12.5,14.5,6,18,28,377312.0,325269.0,7546235.0
21711477,2025-09-01,10,20,0.667,316.0,14.1,15.8,,,28,411140.0,366903.0,8222794.0
21711477,2025-10-01,30,1,0.032,12.0,14.7,12.0,1,1,28,312258.0,382516.0,312258.0
21711477,2025-11-01,30,0,0.0,0.0,13.3,,,,28,,346086.0,0.0
21711477,2025-12-01,31,0,0.0,0.0,8.8,,,,28,,228989.0,0.0
21711477,2026-01-01,31,0,0.0,0.0,6.6,,,,22,,171742.0,0.0
21711477,2026-02-01,28,0,0.0,0.0,6.2,,,,28,,161333.0,0.0
21711477,2026-03-01,30,1,0.032,6.0,6.2,6.0,1,1,28,156129.0,161333.0,156129.0
21711477,2026-04-01,30,0,0.0,0.0,6.5,,,,28,,169140.0,0.0
21711477,2026-05-01,31,0,0.0,0.0,8.2,,,,28,,213376.0,0.0
29191158,2025-06-01,23,7,0.233,472.0,66.9,67.4,7,2,1,1753849.0,1740838.0,1.2282148E7
29191158,2025-07-01,22,9,0.29,510.0,60.8,56.7,8,2,1,1475419.0,1582107.0,1.3270965E7
29191158,2025-08-01,11,20,0.645,1013.0,49.3,50.6,5,1,1,1316688.0,1282860.0,2.635978E7
29191158,2025-09-01,22,8,0.267,398.0,48.3,49.8,5,1,1,1295871.0,1256838.0,1.0356557E7
29191158,2025-10-01,30,1,0.032,55.0,49.8,55.0,3,1,1,1431183.0,1295871.0,1431183.0
29191158,2025-11-01,30,0,0.0,0.0,47.4,,,,1,,1233419.0,0.0
29191158,2025-12-01,30,1,0.032,47.0,50.4,47.0,1,4,1,1223011.0,1311484.0,1223011.0
29191158,2026-01-01,25,6,0.194,325.0,55.8,54.2,58,1,1,1410365.0,1452000.0,8456988.0
29191158,2026-02-01,22,6,0.214,310.0,50.2,51.7,2,2,1,1345312.0,1306279.0,8066665.0
29191158,2026-03-01,29,2,0.065,127.0,53.5,63.5,2,1,1,1652365.0,1392150.0,3304731.0
29191158,2026-04-01,30,0,0.0,0.0,56.6,,,,1,,1472817.0,0.0
29191158,2026-05-01,31,0,0.0,0.0,62.6,,,,1,,1628946.0,0.0
23234865,2025-06-01,30,0,0.0,0.0,24.3,,,,1,,632322.0,0.0
23234865,2025-07-01,31,0,0.0,0.0,23.3,,,,1,,606301.0,0.0
23234865,2025-08-01,28,3,0.097,74.0,24.9,24.7,72,5,1,642731.0,647935.0,1925591.0
23234865,2025-09-01,28,2,0.067,48.0,24.2,24.0,,,1,624516.0,629720.0,1249032.0
23234865,2025-10-01,31,0,0.0,0.0,23.3,,,,1,,606301.0,0.0
23234865,2025-11-01,29,1,0.033,25.0,24.3,25.0,149,1,1,650538.0,632322.0,650538.0
23234865,2025-12-01,22,9,0.29,222.0,24.6,24.7,8,2,1,642731.0,640129.0,5776773.0
23234865,2026-01-01,29,2,0.065,50.0,24.9,25.0,,,1,650538.0,647935.0,1301075.0
23234865,2026-02-01,24,4,0.143,95.0,23.4,23.8,65,4,1,619312.0,608903.0,2472043.0
23234865,2026-03-01,31,0,0.0,0.0,23.4,,,,1,,608903.0,0.0
23234865,2026-04-01,30,0,0.0,0.0,23.6,,,,1,,614107.0,0.0
23234865,2026-05-01,31,0,0.0,0.0,23.6,,,,1,,614107.0,0.0
29520177,2025-06-01,17,13,0.433,199.0,16.1,15.3,,,1,398129.0,418946.0,5178279.0
29520177,2025-07-01,31,0,0.0,0.0,15.7,,,,1,,408538.0,0.0
29520177,2025-08-01,11,20,0.645,360.0,17.7,18.0,35,30,1,468387.0,460581.0,9367740.0
29520177,2025-09-01,0,30,1.0,546.0,18.2,18.2,,,1,473591.0,473591.0,1.4207739E7
29520177,2025-10-01,8,23,0.742,385.0,16.8,16.7,1,6,1,434559.0,437161.0,1.0018278E7
29520177,2025-11-01,9,21,0.7,350.0,16.8,16.7,10,4,1,434559.0,437161.0,9107525.0
29520177,2025-12-01,20,11,0.355,181.0,16.5,16.5,15,3,1,429355.0,429355.0,4709892.0
29520177,2026-01-01,2,29,0.935,499.0,17.2,17.2,53,14,1,447570.0,447570.0,1.2984729E7
29520177,2026-02-01,12,16,0.571,283.0,17.7,17.7,3,6,1,460581.0,460581.0,7364085.0
29520177,2026-03-01,11,20,0.645,362.0,18.3,18.1,53,2,1,470989.0,476193.0,9419783.0
29520177,2026-04-01,11,19,0.633,372.0,19.7,19.6,29,2,1,510021.0,512624.0,9679998.0
29520177,2026-05-01,28,3,0.097,57.0,19.5,19.0,10,1,1,494409.0,507419.0,1483226.0
21817589,2025-06-01,3,27,0.9,332.0,12.3,12.3,18,3,2,320064.0,320064.0,8639138.0
21817589,2025-07-01,18,13,0.419,155.0,12.0,11.9,27,3,2,309656.0,312258.0,4033333.0
21817589,2025-08-01,16,15,0.484,179.0,11.9,11.9,43,2,2,309656.0,309656.0,4657849.0
21817589,2025-09-01,3,27,0.9,328.0,12.1,12.1,66,4,2,314860.0,314860.0,8535052.0
21817589,2025-10-01,10,21,0.677,244.0,11.6,11.6,26,2,2,301849.0,301849.0,6349246.0
21817589,2025-11-01,1,29,0.967,343.0,11.8,11.8,40,4,2,307054.0,307054.0,8925375.0
21817589,2025-12-01,0,31,1.0,359.0,11.6,11.6,110,31,2,301849.0,301849.0,9341719.0
21817589,2026-01-01,3,28,0.903,334.0,12.0,11.9,36,3,2,309656.0,312258.0,8691181.0
21817589,2026-02-01,6,22,0.786,258.0,11.7,11.7,67,3,2,304452.0,304452.0,6713547.0
21817589,2026-03-01,3,28,0.903,327.0,11.7,11.7,58,5,2,304452.0,304452.0,8509031.0
21817589,2026-04-01,6,24,0.8,294.0,12.4,12.2,24,3,2,317462.0,322667.0,7650321.0
21817589,2026-05-01,10,21,0.677,259.0,12.3,12.3,48,2,2,320064.0,320064.0,6739569.0
21671494,2025-06-01,17,13,0.433,136.0,10.7,10.5,,,2,273226.0,278430.0,3538924.0
21671494,2025-07-01,31,0,0.0,0.0,10.8,,,,1,,281032.0,0.0
21671494,2025-08-01,1,30,0.968,341.0,11.3,11.4,20,30,1,296645.0,294043.0,8873332.0
21671494,2025-09-01,18,12,0.4,134.0,10.8,11.2,36,3,2,291441.0,281032.0,3486881.0
21671494,2025-10-01,31,0,0.0,0.0,11.0,,,,2,,286237.0,0.0
21671494,2025-11-01,15,15,0.5,168.0,11.2,11.2,10,2,2,291441.0,291441.0,4371612.0
21671494,2025-12-01,15,16,0.516,175.0,10.9,10.9,11,2,2,283634.0,283634.0,4553763.0
21671494,2026-01-01,21,10,0.323,110.0,10.8,11.0,38,6,2,286237.0,281032.0,2862365.0
21671494,2026-02-01,6,22,0.786,236.0,10.7,10.7,5,2,2,278430.0,278430.0,6141074.0
